,Day,Date,workoutActivityType,duration,durationUnit,distance,heartRateAverage,activeEnergyBurned,basalEnergyBurned,avg_pace_min,avg_pace_mmss
332,Monday,2022-11-28,Walking,15.40778720378876,min,1.12055,103.43661971830986,92.4107,33.9758,13.750200529908314,13:45
333,Sunday,2022-12-04,Walking,43.64754141569138,min,2.35095,113.78947368421052,183.185,96.4668,18.565916508514164,18:34
334,Sunday,2022-12-18,Walking,35.21351672410965,min,2.2424,85.45945945945945,169.364,77.5339,15.703494793127744,15:42
335,Thursday,2022-12-22,Walking,31.45212274988492,min,2.17399,84.16666666666667,135.463,69.6975,14.467464316710252,14:28
336,Thursday,2022-12-22,Walking,43.98693665067355,min,3.15128,107.8965,270.048,97.8125,13.958434874296652,13:58
337,Saturday,2022-12-31,Walking,25.1034958978494,min,1.37795,87.49147954545455,95.0261,55.0763,18.21800203044334,18:13
338,Sunday,2023-01-01,Walking,38.32380305926005,min,2.20781,112.42424242424242,174.302,84.8152,17.358288557104125,17:21
339,Sunday,2023-01-01,Walking,28.86886704365412,min,1.67027,112.45663870967742,128.963,62.1002,17.28395232127388,17:17
340,Sunday,2023-01-15,Walking,41.88548301259677,min,2.29396,93.2125,175.887,92.4638,18.2590293695604,18:16
341,Saturday,2023-01-21,Cycling,42.8973023891449,min,8.47447,105.549075,206.978,95.0153,5.061945158711388,5:04
342,Saturday,2023-01-21,Walking,30.09920357465744,min,1.95588,110.62162162162163,137.524,65.7269,15.389085002483506,15:23
343,Sunday,2023-01-22,Cycling,47.96229393084844,min,9.6834,100.20401999999999,245.353,106.507,4.9530427257831375,4:57
344,Sunday,2023-01-29,Cycling,52.63897954821586,min,9.49619,113.13816,271.741,116.488,5.543168317842825,5:33
345,Saturday,2023-02-04,Cycling,54.15755794843038,min,9.06266,108.87875999999999,233.487,119.266,5.975900888749041,5:59
346,Sunday,2023-02-05,Cycling,53.54199882547061,min,9.37452,109.64203333333332,248.982,118.5,5.711438967058645,5:43
347,Wednesday,2023-02-08,Walking,27.0995922823747,min,1.83514,78.75,146.36,59.8285,14.76704354020658,14:46
348,Sunday,2023-02-12,Cycling,58.10094578663508,min,9.77403,102.18813333333333,248.605,128.2,5.944420652139914,5:57
349,Thursday,2023-02-16,Walking,15.09425490498543,min,1.0124,110.375,69.341,31.9895,14.909378610218718,14:55
350,Sunday,2023-02-26,Walking,42.29862697124481,min,1.33448,85.31428571428572,115.772,92.4395,31.69671105692465,31:42
351,Saturday,2023-03-04,Walking,28.88616866668065,min,2.3899,106.81818181818181,152.68,64.0265,12.08676876299454,12:05
352,Sunday,2023-03-05,Walking,54.53390215039254,min,3.54017,98.0,222.859,120.954,15.404317349277731,15:24
353,Monday,2023-03-06,Walking,27.20983876784642,min,2.25591,91.0,145.068,60.133,12.061579924662961,12:04
354,Sunday,2023-03-12,Walking,39.9927919169267,min,3.44862,110.08333333333333,218.066,88.6867,11.5967523000292,11:36
355,Monday,2023-03-13,Walking,31.94396968285243,min,2.45058,72.0,161.447,70.625,13.03526907215942,13:02
356,Friday,2023-03-17,Walking,28.37321858207385,min,2.38684,,153.854,62.8734,11.887356748702825,11:53
357,Saturday,2023-03-18,Walking,37.37134951750438,min,3.38902,114.75,226.191,82.7955,11.027184707527361,11:02
358,Tuesday,2023-03-21,Walking,28.78303165038427,min,2.34762,,148.914,63.6533,12.260515607459585,12:16
359,Wednesday,2023-03-22,Walking,28.46231388250987,min,2.38236,,156.583,62.89,11.947108699990713,11:57
360,Thursday,2023-03-23,Walking,30.3085450510184,min,2.44684,87.1555,162.329,67.0185,12.386811173194161,12:23
361,Friday,2023-03-24,Walking,29.09383304913839,min,2.40481,,154.275,64.4263,12.098183660720968,12:06
362,Saturday,2023-03-25,Cycling,30.87624833186468,min,7.01915,102.27433333333333,166.345,68.2321,4.398858598528979,4:24
363,Sunday,2023-03-26,Cycling,56.4418959915638,min,10.383,100.37280000000001,271.757,124.892,5.435991138549919,5:26
364,Sunday,2023-03-26,Walking,46.64510139624278,min,3.12564,108.54054054054055,246.275,103.11,14.923376139364347,14:55
365,Monday,2023-03-27,Walking,32.86889440019925,min,2.637,93.7106,176.302,72.8375,12.464502995904153,12:28
366,Tuesday,2023-03-28,Walking,32.48155355056127,min,2.9314,101.0,193.561,71.8768,11.080559988592915,11:05
367,Wednesday,2023-03-29,Walking,35.60112740000089,min,2.99785,105.125,199.603,78.7733,11.875553279850857,11:53
368,Thursday,2023-03-30,Walking,34.08768651684125,min,3.02075,103.66666666666667,210.022,75.4509,11.284510971394935,11:17
369,Thursday,2023-03-30,Cycling,30.95872041185697,min,5.66743,79.2444,114.81,68.4387,5.462567762082102,5:28
370,Friday,2023-03-31,Walking,35.47892755071322,min,3.01635,112.0909090909091,202.856,78.6301,11.762205165419537,11:46
371,Saturday,2023-04-01,Cycling,57.91682937542598,min,10.4383,114.3362,293.982,128.281,5.5484925107944765,5:33
372,Tuesday,2023-04-04,Walking,34.08617269992828,min,3.12677,113.0,211.97,75.5688,10.901400710614556,10:54
373,Wednesday,2023-04-05,Walking,33.9016948501269,min,3.10915,112.81818181818181,214.33,75.335,10.903846662311853,10:54
374,Wednesday,2023-04-05,Cycling,30.6934704999129,min,6.04256,91.54216666666667,135.732,68.1317,5.079547493101087,5:05
375,Thursday,2023-04-06,Walking,34.19621711572011,min,3.12103,111.54545454545455,212.244,75.715,10.956708879991576,10:57
376,Friday,2023-04-07,Walking,33.27303588191668,min,3.02593,119.8,208.395,73.722,10.995970125520643,10:60
377,Saturday,2023-04-08,Walking,33.37703285018603,min,3.08959,118.0,216.506,73.9367,10.803062170121613,10:48
378,Sunday,2023-04-09,Walking,34.45969028274218,min,3.13916,129.5,219.244,76.2341,10.977360275596714,10:59
379,Tuesday,2023-04-11,Walking,33.21775688330332,min,3.10219,,212.992,73.4793,10.707840874770186,10:42
380,Wednesday,2023-04-12,Walking,36.68374718228976,min,3.36376,,228.865,81.2354,10.905578038352843,10:54
381,Thursday,2023-04-13,Walking,35.11904859940211,min,3.24279,,218.164,77.71,10.829886794828562,10:50
382,Friday,2023-04-14,Walking,43.01694001555443,min,3.66631,,240.232,87.3232,11.733034035734685,11:44
383,Saturday,2023-04-15,Cycling,62.90341711441676,min,10.2912,121.878,338.32,127.691,6.112350077193793,6:07
384,Sunday,2023-04-16,Walking,37.58808201551437,min,3.13824,80.2098,212.808,76.3221,11.977440226214172,11:59
385,Monday,2023-04-17,Walking,42.78476938406627,min,3.95114,,248.289,87.073,10.828462009462148,10:50
386,Tuesday,2023-04-18,Walking,43.72613158424695,min,4.14454,105.42857142857143,262.344,88.7947,10.55029788209233,10:33
387,Tuesday,2023-04-18,Walking,24.55349773168564,min,1.89733,101.86666666666666,133.568,49.946,12.941079164766087,12:56
388,Wednesday,2023-04-19,Walking,43.73154186805089,min,4.01103,79.0,256.181,88.7778,10.902820938275429,10:54
